Date : 2022-07-27 09:56:21
Directory : c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot
Total : 199 files,  19217 codes, 86 comments, 1461 blanks, all 20764 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| src\elements\map                                                                                          |         13 |        268 |          0 |          0 |        268 |
| src\elements\materials                                                                                    |          8 |         64 |          0 |          0 |         64 |
| src\elements\pnjs                                                                                         |          7 |         28 |          0 |          0 |         28 |
| src\elements\texts                                                                                        |          3 |         32 |          0 |          0 |         32 |
| src\events                                                                                                |          4 |        188 |          0 |         29 |        217 |
| src\quests                                                                                                |         19 |        413 |          0 |         35 |        448 |
| src\quests\bases                                                                                          |         13 |        173 |          0 |         20 |        193 |
| src\quests\bases\objectives                                                                               |          7 |         86 |          0 |          8 |         94 |
| src\quests\bases\superobjectives                                                                          |          3 |         57 |          0 |          6 |         63 |
| src\quests\daily                                                                                          |          3 |         42 |          0 |          6 |         48 |
| src\quests\slayer                                                                                         |          3 |        198 |          0 |          9 |        207 |
| src\quests\slayer\chapter1                                                                                |          3 |        198 |          0 |          9 |        207 |
| src\structure                                                                                             |         16 |      1,513 |         13 |        317 |      1,843 |
| src\structure\callbacks                                                                                   |          5 |        194 |          2 |         38 |        234 |
| src\structure\database                                                                                    |         10 |      1,237 |         11 |        266 |      1,514 |
| src\structure\tools                                                                                       |          1 |         82 |          0 |         13 |         95 |
| src\utils                                                                                                 |          8 |        198 |          0 |         20 |        218 |
| src\utils\json                                                                                            |          1 |         36 |          0 |          0 |         36 |
+-----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                  | language           | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\.eslintrc.json                                  | JSON with Comments |         47 |          0 |          1 |         48 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\changelog.md                                    | Markdown           |         38 |          0 |         18 |         56 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\obanaibot-error.log                             | Log                |      2,506 |          0 |        159 |      2,665 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\package-lock.json                               | JSON               |      7,105 |          0 |          1 |      7,106 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\package.json                                    | JSON               |         21 |          0 |          0 |         21 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\base\Command.js                             | JavaScript         |        238 |          4 |         34 |        276 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\base\CommandManager.js                      | JavaScript         |         35 |          1 |          8 |         44 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\base\Context.js                             | JavaScript         |        262 |         37 |         58 |        357 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\base\Obanai.js                              | JavaScript         |        113 |          9 |         16 |        138 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\base\SuperButton.js                         | JavaScript         |         48 |          0 |         15 |         63 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\base\SuperEmbed.js                          | JavaScript         |         78 |          0 |         14 |         92 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\base\SuperModal.js                          | JavaScript         |         34 |          0 |         11 |         45 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\base\SuperModalTextInput.js                 | JavaScript         |         31 |          0 |          7 |         38 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\base\SuperModalTextInputComponent.js        | JavaScript         |         59 |          0 |         18 |         77 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\base\SuperRow.js                            | JavaScript         |         15 |          0 |          4 |         19 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\base\SuperSelectMenu.js                     | JavaScript         |         59 |          0 |         17 |         76 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\base\SuperSelectMenuOption.js               | JavaScript         |         35 |          0 |         13 |         48 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\classes\Arena.js                            | JavaScript         |        395 |          1 |         57 |        453 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\classes\Player.js                           | JavaScript         |         20 |          0 |          3 |         23 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\classes\Team.js                             | JavaScript         |         30 |          0 |          7 |         37 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\classes\buttons\attack.js                   | JavaScript         |         44 |          0 |          0 |         44 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\classes\buttons\choiceinfos.json            | JSON               |         16 |          0 |          0 |         16 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\classes\buttons\defense.js                  | JavaScript         |         32 |          0 |          0 |         32 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\commands\admin\add-serv.js                  | JavaScript         |         23 |          0 |          3 |         26 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\commands\admin\change-status.js             | JavaScript         |         38 |          0 |          4 |         42 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\commands\admin\remove-serv.js               | JavaScript         |         28 |          0 |          3 |         31 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\commands\admin\set-vip.js                   | JavaScript         |         35 |          0 |          6 |         41 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\commands\admin\set-vipplus.js               | JavaScript         |         35 |          0 |          6 |         41 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\commands\admin\unset-vip.js                 | JavaScript         |         35 |          0 |          6 |         41 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\commands\admin\unset-vipplus.js             | JavaScript         |         35 |          0 |          6 |         41 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\commands\combats\fight.js                   | JavaScript         |        153 |          3 |         26 |        182 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\commands\escouades\squad-create.js          | JavaScript         |         95 |          0 |          8 |        103 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\commands\escouades\squad-delete.js          | JavaScript         |         96 |          0 |          8 |        104 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\commands\escouades\squad-demote.js          | JavaScript         |         85 |          0 |          8 |         93 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\commands\escouades\squad-invite.js          | JavaScript         |        149 |          3 |         17 |        169 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\commands\escouades\squad-kick.js            | JavaScript         |        103 |          0 |         10 |        113 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\commands\escouades\squad-leave.js           | JavaScript         |         78 |          0 |          8 |         86 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\commands\escouades\squad-promote.js         | JavaScript         |        112 |          0 |         10 |        122 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\commands\escouades\squad-quote.js           | JavaScript         |         93 |          0 |          9 |        102 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\commands\escouades\squad-rename.js          | JavaScript         |         84 |          0 |          9 |         93 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\commands\escouades\squad.js                 | JavaScript         |         65 |          0 |         13 |         78 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\commands\exploration\crow-bait.js           | JavaScript         |        162 |          2 |         23 |        187 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\commands\exploration\crow-feed.js           | JavaScript         |        102 |          1 |         15 |        118 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\commands\exploration\dig.js                 | JavaScript         |        164 |          2 |         22 |        188 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\commands\exploration\forge-collect.js       | JavaScript         |         66 |          0 |         12 |         78 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\commands\exploration\forge-list.js          | JavaScript         |         54 |          0 |          9 |         63 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\commands\exploration\forge-weapon.js        | JavaScript         |        142 |          0 |          9 |        151 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\commands\exploration\grimoire-enchant.js    | JavaScript         |         95 |          0 |          7 |        102 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\commands\exploration\map.js                 | JavaScript         |         47 |          0 |         12 |         59 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\commands\exploration\travel-area.js         | JavaScript         |         85 |          0 |         12 |         97 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\commands\exploration\travel-region.js       | JavaScript         |         88 |          2 |         13 |        103 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\commands\owner\clear-db.js                  | JavaScript         |         27 |          0 |          3 |         30 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\commands\owner\eval.js                      | JavaScript         |         43 |          0 |          7 |         50 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\commands\quetes\give.js                     | JavaScript         |         97 |          0 |         15 |        112 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\commands\quetes\inspect.js                  | JavaScript         |         84 |          0 |         16 |        100 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\commands\quetes\quests.js                   | JavaScript         |        179 |          2 |         19 |        200 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\commands\quetes\talk.js                     | JavaScript         |         81 |          0 |         14 |         95 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\commands\stats\badges.js                    | JavaScript         |         38 |          0 |          9 |         47 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\commands\stats\category.js                  | JavaScript         |        105 |          0 |         16 |        121 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\commands\stats\claim.js                     | JavaScript         |         53 |          0 |         10 |         63 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\commands\stats\crow.js                      | JavaScript         |         51 |          0 |         12 |         63 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\commands\stats\grimoire-set.js              | JavaScript         |         69 |          0 |         12 |         81 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\commands\stats\grimoire-unset.js            | JavaScript         |         48 |          0 |          6 |         54 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\commands\stats\grimoires.js                 | JavaScript         |         61 |          0 |          9 |         70 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\commands\stats\inventory.js                 | JavaScript         |         45 |          0 |          8 |         53 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\commands\stats\lang.js                      | JavaScript         |         40 |          0 |          4 |         44 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\commands\stats\rank.js                      | JavaScript         |         50 |          0 |         10 |         60 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\commands\stats\reset.js                     | JavaScript         |         47 |          0 |          4 |         51 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\commands\stats\start.js                     | JavaScript         |         53 |          0 |          4 |         57 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\commands\stats\stats.js                     | JavaScript         |         42 |          0 |         12 |         54 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\commands\stats\top.js                       | JavaScript         |         33 |          0 |          8 |         41 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\commands\stats\train.js                     | JavaScript         |         95 |          0 |          9 |        104 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\commands\stats\weapon-sell.js               | JavaScript         |         92 |          0 |         14 |        106 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\commands\stats\weapon-set.js                | JavaScript         |        104 |          0 |         15 |        119 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\commands\stats\weapons.js                   | JavaScript         |         34 |          0 |          8 |         42 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\commands\testing\bot-infos.js               | JavaScript         |         44 |          0 |          6 |         50 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\commands\testing\status.js                  | JavaScript         |         86 |          3 |         15 |        104 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\commands\testing\testing.js                 | JavaScript         |         21 |          0 |          3 |         24 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\commands\utilitaire\help.js                 | JavaScript         |        305 |          0 |         21 |        326 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\commands\utilitaire\prefix.js               | JavaScript         |         61 |          0 |          4 |         65 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\config.json                                 | JSON               |         17 |          0 |          0 |         17 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\badgesObjectives.json              | JSON               |         48 |          0 |          0 |         48 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\breaths\beast_style.json           | JSON               |         33 |          0 |          0 |         33 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\breaths\flame_style.json           | JSON               |         31 |          0 |          0 |         31 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\breaths\flower_style.json          | JSON               |         30 |          0 |          0 |         30 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\breaths\insect_style.json          | JSON               |         31 |          0 |          0 |         31 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\breaths\love_style.json            | JSON               |         30 |          0 |          0 |         30 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\breaths\mist_style.json            | JSON               |         30 |          0 |          0 |         30 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\breaths\moon_style.json            | JSON               |         33 |          0 |          0 |         33 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\breaths\serpent_style.json         | JSON               |         30 |          0 |          0 |         30 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\breaths\sound_style.json           | JSON               |         30 |          0 |          0 |         30 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\breaths\stone_style.json           | JSON               |         30 |          0 |          0 |         30 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\breaths\sun_style.json             | JSON               |         35 |          0 |          0 |         35 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\breaths\thunder_style.json         | JSON               |         33 |          0 |          0 |         33 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\breaths\water_style.json           | JSON               |         36 |          0 |          0 |         36 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\breaths\wind_style.json            | JSON               |         31 |          0 |          0 |         31 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\calcCrowLevel.js                   | JavaScript         |         18 |          0 |          3 |         21 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\calcPlayerLevel.js                 | JavaScript         |         18 |          0 |          3 |         21 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\categories\butterfly.json          | JSON               |         17 |          0 |          0 |         17 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\categories\cactus.json             | JSON               |         17 |          0 |          0 |         17 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\categories\charmer.json            | JSON               |         17 |          0 |          0 |         17 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\categories\gymnast.json            | JSON               |         17 |          0 |          0 |         17 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\categories\moon_tamer.json         | JSON               |         17 |          0 |          0 |         17 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\categories\ninja.json              | JSON               |         17 |          0 |          0 |         17 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\categories\shredding.json          | JSON               |         17 |          0 |          0 |         17 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\categories\slayer.json             | JSON               |         17 |          0 |          0 |         17 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\grimoires\adventurer.json          | JSON               |          8 |          0 |          0 |          8 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\grimoires\economist.json           | JSON               |          8 |          0 |          0 |          8 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\grimoires\eternal.json             | JSON               |         16 |          0 |          0 |         16 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\grimoires\falconer.json            | JSON               |          8 |          0 |          0 |          8 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\grimoires\fortunate.json           | JSON               |          8 |          0 |          0 |          8 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\grimoires\mastery.json             | JSON               |          8 |          0 |          0 |          8 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\grimoires\warrior.json             | JSON               |          8 |          0 |          0 |          8 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\kasugai_crows\dove.json            | JSON               |          6 |          0 |          0 |          6 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\kasugai_crows\kasugai_evolved.json | JSON               |          6 |          0 |          0 |          6 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\kasugai_crows\kasugai_proud.json   | JSON               |          6 |          0 |          0 |          6 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\kasugai_crows\kasugai_simple.json  | JSON               |          6 |          0 |          0 |          6 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\kasugai_crows\sparrow.json         | JSON               |          6 |          0 |          0 |          6 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\map.js                             | JavaScript         |         11 |          0 |          3 |         14 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\map\0.json                         | JSON               |         22 |          0 |          0 |         22 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\map\1.json                         | JSON               |         22 |          0 |          0 |         22 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\map\10.json                        | JSON               |         16 |          0 |          0 |         16 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\map\11.json                        | JSON               |         16 |          0 |          0 |         16 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\map\12.json                        | JSON               |         16 |          0 |          0 |         16 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\map\2.json                         | JSON               |         22 |          0 |          0 |         22 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\map\3.json                         | JSON               |         22 |          0 |          0 |         22 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\map\4.json                         | JSON               |         34 |          0 |          0 |         34 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\map\5.json                         | JSON               |         16 |          0 |          0 |         16 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\map\6.json                         | JSON               |         16 |          0 |          0 |         16 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\map\7.json                         | JSON               |         16 |          0 |          0 |         16 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\map\8.json                         | JSON               |         16 |          0 |          0 |         16 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\map\9.json                         | JSON               |         34 |          0 |          0 |         34 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\materials\grimoire.json            | JSON               |          8 |          0 |          0 |          8 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\materials\leather.json             | JSON               |          8 |          0 |          0 |          8 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\materials\paper.json               | JSON               |          8 |          0 |          0 |          8 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\materials\seed.json                | JSON               |          8 |          0 |          0 |          8 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\materials\tamahagane.json          | JSON               |          8 |          0 |          0 |          8 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\materials\weapon_model.json        | JSON               |          8 |          0 |          0 |          8 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\materials\wood.json                | JSON               |          8 |          0 |          0 |          8 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\materials\worm.json                | JSON               |          8 |          0 |          0 |          8 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\pnjs\pnj0.json                     | JSON               |          4 |          0 |          0 |          4 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\pnjs\pnj1.json                     | JSON               |          4 |          0 |          0 |          4 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\pnjs\pnj2.json                     | JSON               |          4 |          0 |          0 |          4 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\pnjs\pnj3.json                     | JSON               |          4 |          0 |          0 |          4 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\pnjs\pnj4.json                     | JSON               |          4 |          0 |          0 |          4 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\pnjs\pnj5.json                     | JSON               |          4 |          0 |          0 |          4 |
| c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\pnjs\pnj6.json                     | JSON               |          4 |          0 |          0 |          4 |
